iter	Logloss
0	0.6851196046
1	0.6791990258
2	0.6714701804
3	0.6646510705
4	0.6567939248
5	0.6495923698
6	0.6430065252
7	0.6344457993
8	0.6258193632
9	0.6192236643
10	0.61266041
11	0.6063234972
12	0.6016350222
13	0.5955372093
14	0.5887476306
15	0.5819405915
16	0.575227314
17	0.5680054803
18	0.5630538056
19	0.5584107878
20	0.5535422418
21	0.5478265739
22	0.5419188031
23	0.5374093181
24	0.5313564748
25	0.5262105329
26	0.5207332912
27	0.5164209461
28	0.5115515931
29	0.5068640586
30	0.5019506747
31	0.4974991633
32	0.4928561001
33	0.4890285793
34	0.4853483363
35	0.480753601
36	0.4761179869
37	0.4719682024
38	0.4683786813
39	0.4636543034
40	0.4590952621
41	0.455811211
42	0.4525076315
43	0.44935734
44	0.4444828559
45	0.4409541107
46	0.4381192238
47	0.4341882092
48	0.4298261539
49	0.4266637085
50	0.423190955
51	0.4203610014
52	0.4173587037
53	0.4161344269
54	0.4136948729
55	0.4103997822
56	0.4079179408
57	0.4052124027
58	0.4022302411
59	0.3996587214
60	0.3968918729
61	0.3941271709
62	0.391065736
63	0.3888106657
64	0.3862184789
65	0.3834671716
66	0.3813115854
67	0.3788691742
68	0.3766087077
69	0.3741134203
70	0.371941237
71	0.3698739491
72	0.3670179132
73	0.3656149027
74	0.3637911801
75	0.3618405656
76	0.360064876
77	0.3581395272
78	0.3556905753
79	0.3536031005
80	0.3519786583
81	0.3507650058
82	0.3491768461
83	0.3474065846
84	0.3452339266
85	0.3437530069
86	0.3427057754
87	0.3403542931
88	0.3382119057
89	0.3364160385
90	0.334956702
91	0.333448128
92	0.3314513425
93	0.3291691523
94	0.3278086317
95	0.3263553295
96	0.3248191822
97	0.3230914295
98	0.3219366932
99	0.3198673228
100	0.3182089656
101	0.316551879
102	0.3152535825
103	0.3137441056
104	0.3125668072
105	0.311031588
106	0.3096708859
107	0.3084066913
108	0.3074295781
109	0.3058616305
110	0.3041857939
111	0.3025962272
112	0.3015141671
113	0.3002845017
114	0.2988238268
115	0.2972204361
116	0.2962682143
117	0.2948975937
118	0.2937244959
119	0.2925291375
120	0.2913373286
121	0.2908250069
122	0.289384641
123	0.2881822162
124	0.2873125077
125	0.2859337817
126	0.2846354491
127	0.2832953393
128	0.2822035665
129	0.2810382852
130	0.2803904729
131	0.2794546619
132	0.2784595199
133	0.2773666876
134	0.2762294419
135	0.2753544853
136	0.2742357625
137	0.273475997
138	0.2720809169
139	0.2713240842
140	0.2703867391
141	0.2696056055
142	0.2688976678
143	0.2682324713
144	0.2673044753
145	0.2662670923
146	0.2651518207
147	0.2644021842
148	0.2634938545
149	0.2627998703
150	0.2619681357
151	0.2608934866
152	0.2598918649
153	0.2588913487
154	0.2581233179
155	0.2574563745
156	0.2565604094
157	0.2557525787
158	0.2548981125
159	0.2542848536
160	0.2534023589
161	0.2527401974
162	0.252049786
163	0.2514888557
164	0.2506004905
165	0.2496694568
166	0.2490968944
167	0.2484120146
168	0.2474617035
169	0.2466935357
170	0.245974713
171	0.2452213573
172	0.2445612098
173	0.2437451645
174	0.2428636251
175	0.2422099428
176	0.2415598008
177	0.2409822573
178	0.240098969
179	0.2394421441
180	0.2389010468
181	0.2381403908
182	0.2376898147
183	0.2369269688
184	0.2361255618
185	0.2355860984
186	0.2350526747
187	0.2344030919
188	0.233832492
189	0.2332180154
190	0.232362014
191	0.2318822073
192	0.2312238268
193	0.230472183
194	0.2295712157
195	0.2290876828
196	0.2284341056
197	0.2277633274
198	0.2269290191
199	0.2263199214
200	0.2257723176
201	0.2251628206
202	0.2247926553
203	0.224393648
204	0.223786743
205	0.2232901924
206	0.2226006418
207	0.2222930255
208	0.2217148277
209	0.2209066761
210	0.2203186048
211	0.2196637917
212	0.2190322694
213	0.2185852941
214	0.2180239841
215	0.2176464827
216	0.2172250886
217	0.2166799051
218	0.2160428912
219	0.2155794915
220	0.2150420169
221	0.214447345
222	0.2139631333
223	0.2135126531
224	0.2129290934
225	0.2121918046
226	0.2117170423
227	0.211282414
228	0.2106715043
229	0.210150932
230	0.2096950783
231	0.2091749081
232	0.2083682994
233	0.2078896717
234	0.2073243685
235	0.2070338622
236	0.2065686951
237	0.205925606
238	0.2054076623
239	0.2048883608
240	0.2043479041
241	0.2037448266
242	0.2033149375
243	0.2027892793
244	0.2023844708
245	0.2020715776
246	0.2015451875
247	0.2010719086
248	0.2007625902
249	0.2002563042
250	0.1999650423
251	0.1996172528
252	0.1991664393
253	0.1987056872
254	0.1983037565
255	0.1979451911
256	0.1975040562
257	0.1971826547
258	0.1967830029
259	0.1962559166
260	0.1959290355
261	0.1956263552
262	0.1953477681
263	0.1948548181
264	0.1946143615
265	0.1942530703
266	0.1935408229
267	0.193409564
268	0.1930529006
269	0.1926971196
270	0.1923156404
271	0.1918362127
272	0.1914662732
273	0.1910727979
274	0.190724442
275	0.1902972604
276	0.1897993732
277	0.1894293882
278	0.1891005528
279	0.1886115781
280	0.1883133207
281	0.1879513727
282	0.187716117
283	0.1873106579
284	0.1870918756
285	0.1867285085
286	0.1862903286
287	0.1858811165
288	0.1855267766
289	0.1850031926
290	0.1846403657
291	0.1842499364
292	0.1838168213
293	0.1835080023
294	0.1832552519
295	0.1827083695
296	0.1824939566
297	0.1820656779
298	0.1817793379
299	0.1815226284
300	0.1811686646
301	0.1807024527
302	0.1803683551
303	0.180104031
304	0.1797155304
305	0.1794502585
306	0.1792095939
307	0.1788510101
308	0.1784279012
309	0.1781335497
310	0.1777700997
311	0.1774966621
312	0.177063641
313	0.1766653028
314	0.1764260507
315	0.1762262251
316	0.1760248617
317	0.1757486343
318	0.1753250748
319	0.1749352506
320	0.1744497972
321	0.1740452854
322	0.1736683837
323	0.173162286
324	0.1726254657
325	0.1723929678
326	0.1720734666
327	0.1717089274
328	0.1714786455
329	0.1712474437
330	0.1710129646
331	0.1706392001
332	0.1701673986
333	0.169814513
334	0.1695734604
335	0.1693876178
336	0.1691554696
337	0.1688685864
338	0.1685785443
339	0.1682048241
340	0.1678410205
341	0.1676021536
342	0.1672330829
343	0.1669534243
344	0.1667651253
345	0.1664418002
346	0.1661701108
347	0.1658167723
348	0.1654470666
349	0.1652160632
350	0.165045816
351	0.1647220848
352	0.164388775
353	0.1639759497
354	0.1638150306
355	0.1633300816
356	0.162931471
357	0.1624155955
358	0.1622331401
359	0.1619170072
360	0.1616056455
361	0.1613216579
362	0.1609830844
363	0.160623716
364	0.1603054447
365	0.1601295363
366	0.1596897318
367	0.1594594751
368	0.1592226646
369	0.1589751581
370	0.1584837581
371	0.1580793293
372	0.1578784729
373	0.1575884315
374	0.1571583943
375	0.1568981907
376	0.1566716084
377	0.156380351
378	0.1561122433
379	0.1557437186
380	0.1555332761
381	0.1552587142
382	0.1550524961
383	0.1548602123
384	0.1544566177
385	0.1543202441
386	0.1540437494
387	0.1538260313
388	0.1534717754
389	0.1532220924
390	0.1530474448
391	0.1528086734
392	0.152561164
393	0.1524400314
394	0.1522496038
395	0.1521110743
396	0.1520230863
397	0.1517420764
398	0.1516061265
399	0.1513173535
400	0.1511580894
401	0.1509761707
402	0.1507848638
403	0.1505971191
404	0.1503078658
405	0.1501546049
406	0.1499697704
407	0.1497887881
408	0.1494231278
409	0.149230415
410	0.1490088303
411	0.1488990665
412	0.1486997516
413	0.148451258
414	0.1481648806
415	0.1479015724
416	0.1476866937
417	0.1473836363
418	0.1472300217
419	0.1468902418
420	0.1467048116
421	0.1464229948
422	0.1461930996
423	0.1459751656
424	0.1458462433
425	0.1456405571
426	0.1454813779
427	0.1450592863
428	0.1449608559
429	0.1448365957
430	0.1447288665
431	0.1444282068
432	0.1442253965
433	0.1439946142
434	0.1436721746
435	0.1434794243
436	0.1433297908
437	0.1431521462
438	0.1429676059
439	0.1427878585
440	0.1425409214
441	0.1422374297
442	0.1421088325
443	0.1418551913
444	0.1415836221
445	0.1412419597
446	0.1411422287
447	0.1409747112
448	0.1404979432
449	0.1403547941
450	0.1401778833
451	0.1401106374
452	0.1399303388
453	0.1398031482
454	0.1394150119
455	0.1391372705
456	0.1388553714
457	0.1387177048
458	0.1386048644
459	0.1385260305
460	0.138372438
461	0.1382239145
462	0.1381189733
463	0.137960792
464	0.1377119695
465	0.1374791784
466	0.1373127843
467	0.1371232953
468	0.136962685
469	0.1367767744
470	0.1365159402
471	0.1364676515
472	0.1362491577
473	0.1359675931
474	0.1358077463
475	0.1356583928
476	0.1354872974
477	0.1353070147
478	0.1350892895
479	0.1348224042
480	0.1345737559
481	0.1344114312
482	0.1342836578
483	0.1340432403
484	0.1339531193
