iter	Passed	Remaining
0	171	170849
1	209	104680
2	238	79228
3	273	68091
4	305	60878
5	338	56129
6	372	52814
7	405	50290
8	442	48701
9	474	46997
10	510	45891
11	547	45100
12	581	44162
13	610	43012
14	650	42690
15	684	42125
16	716	41430
17	755	41206
18	783	40443
19	819	40145
20	845	39430
21	881	39203
22	920	39096
23	952	38753
24	992	38723
25	1034	38738
26	1067	38481
27	1096	38052
28	1139	38139
29	1173	37935
30	1211	37872
31	1243	37630
32	1275	37366
33	1305	37089
34	1329	36652
35	1364	36548
36	1394	36287
37	1424	36069
38	1448	35703
39	1485	35661
40	1511	35362
41	1545	35244
42	1578	35135
43	1614	35080
44	1644	34890
45	1676	34774
46	1702	34524
47	1740	34521
48	1768	34323
49	1807	34336
50	1838	34212
51	1870	34105
52	1899	33932
53	1911	33494
54	1936	33281
55	1966	33143
56	1995	33007
57	2019	32806
58	2054	32759
59	2087	32703
60	2118	32611
61	2149	32523
62	2176	32370
63	2210	32322
64	2241	32243
65	2264	32044
66	2292	31927
67	2315	31738
68	2347	31672
69	2377	31589
70	2405	31474
71	2431	31334
72	2456	31194
73	2487	31121
74	2512	30991
75	2538	30857
76	2569	30799
77	2590	30621
78	2621	30565
79	2651	30493
80	2675	30358
81	2704	30273
82	2733	30200
83	2762	30124
84	2792	30061
85	2817	29941
86	2851	29921
87	2882	29874
88	2916	29853
89	2943	29760
90	2973	29698
91	3002	29636
92	3027	29521
93	3055	29449
94	3079	29338
95	3107	29259
96	3130	29138
97	3158	29073
98	3178	28930
99	3206	28861
100	3231	28764
101	3254	28652
102	3288	28640
103	3309	28510
104	3337	28444
105	3354	28294
106	3377	28191
107	3396	28056
108	3421	27965
109	3446	27882
110	3473	27822
111	3496	27722
112	3526	27677
113	3547	27573
114	3584	27584
115	3612	27531
116	3644	27506
117	3675	27475
118	3701	27401
119	3733	27381
120	3760	27315
121	3792	27294
122	3816	27213
123	3845	27168
124	3870	27091
125	3901	27064
126	3926	26990
127	3959	26974
128	3985	26911
129	4018	26890
130	4042	26816
131	4079	26826
132	4112	26806
133	4139	26752
134	4171	26731
135	4200	26685
136	4230	26649
137	4255	26582
138	4288	26562
139	4319	26533
140	4352	26517
141	4381	26475
142	4404	26394
143	4439	26389
144	4466	26335
145	4496	26301
146	4519	26227
147	4549	26187
148	4576	26138
149	4612	26138
150	4634	26057
151	4666	26033
152	4689	25961
153	4718	25919
154	4742	25854
155	4772	25818
156	4793	25740
157	4828	25731
158	4860	25706
159	4894	25694
160	4925	25670
161	4953	25623
162	4985	25601
163	5015	25568
164	5051	25563
165	5082	25534
166	5119	25537
167	5145	25482
168	5182	25481
169	5224	25506
170	5259	25497
171	5287	25451
172	5318	25423
173	5344	25371
174	5377	25352
175	5410	25331
176	5436	25278
177	5463	25231
178	5487	25169
179	5519	25142
180	5545	25094
181	5573	25049
182	5597	24987
183	5626	24951
184	5654	24910
185	5679	24855
186	5706	24811
187	5734	24766
188	5765	24739
189	5792	24695
190	5827	24683
191	5862	24670
192	5897	24659
193	5930	24639
194	5961	24611
195	5999	24608
196	6035	24602
197	6066	24574
198	6101	24558
199	6133	24534
200	6175	24548
201	6205	24513
202	6238	24491
203	6269	24465
204	6305	24452
205	6337	24428
206	6370	24406
207	6403	24383
208	6428	24331
209	6459	24301
210	6485	24251
211	6517	24227
212	6550	24203
213	6576	24156
214	6609	24132
215	6638	24095
216	6668	24060
217	6698	24027
218	6725	23985
219	6760	23968
220	6786	23920
221	6815	23885
222	6843	23843
223	6880	23835
224	6909	23798
225	6943	23781
226	6972	23742
227	7006	23725
228	7032	23678
229	7067	23661
230	7093	23614
231	7126	23589
232	7150	23539
233	7183	23516
234	7209	23470
235	7239	23437
236	7266	23393
237	7300	23372
238	7335	23356
239	7367	23330
240	7399	23302
241	7432	23280
242	7463	23250
243	7492	23213
244	7521	23179
245	7546	23130
246	7579	23106
247	7609	23073
248	7632	23019
249	7660	22982
250	7692	22953
251	7715	22901
252	7748	22877
253	7774	22834
254	7805	22805
255	7830	22755
256	7861	22728
257	7886	22680
258	7920	22661
259	7945	22614
260	7980	22594
261	8003	22544
262	8036	22521
263	8067	22489
264	8090	22439
265	8120	22408
266	8145	22362
267	8161	22292
268	8185	22243
269	8219	22222
270	8244	22178
271	8274	22147
272	8304	22113
273	8330	22072
274	8365	22053
275	8392	22015
276	8435	22018
277	8467	21991
278	8495	21954
279	8533	21943
280	8560	21904
281	8598	21892
282	8623	21846
283	8655	21822
284	8680	21776
285	8716	21760
286	8742	21718
287	8774	21693
288	8806	21665
289	8833	21626
290	8866	21603
291	8887	21549
292	8915	21512
293	8945	21480
294	8968	21432
295	9001	21409
296	9025	21363
297	9058	21339
298	9084	21297
299	9116	21272
300	9142	21231
301	9174	21205
302	9200	21163
303	9225	21121
304	9251	21082
305	9286	21060
306	9312	21020
307	9346	20998
308	9368	20951
309	9400	20922
310	9432	20897
311	9459	20859
312	9491	20832
313	9523	20806
314	9551	20770
315	9580	20738
316	9610	20705
317	9641	20677
318	9661	20624
319	9691	20594
320	9717	20554
321	9743	20516
322	9776	20491
323	9799	20446
324	9840	20437
325	9870	20406
326	9896	20368
327	9935	20355
328	9963	20321
329	9990	20283
330	10024	20261
331	10050	20222
332	10082	20195
333	10105	20149
334	10135	20120
335	10159	20077
336	10187	20041
337	10216	20008
338	10246	19978
339	10268	19933
340	10301	19908
341	10325	19866
342	10351	19828
343	10383	19801
344	10404	19754
345	10436	19726
346	10465	19695
347	10496	19665
348	10526	19634
349	10551	19596
350	10580	19563
351	10614	19540
352	10635	19493
353	10671	19474
354	10698	19437
355	10732	19414
356	10763	19386
357	10791	19351
358	10832	19342
359	10867	19320
360	10962	19403
361	11033	19445
362	11083	19449
363	11139	19463
364	11180	19451
365	11204	19408
366	11237	19383
367	11270	19356
368	11303	19329
369	11335	19300
370	11361	19262
371	11395	19237
372	11421	19199
373	11453	19170
374	11485	19142
375	11514	19108
376	11538	19068
377	11569	19037
378	11596	19001
379	11632	18979
380	11660	18944
381	11695	18921
382	11726	18890
383	11758	18862
384	11795	18842
385	11829	18816
386	11854	18777
387	11889	18753
388	11920	18722
389	11950	18692
390	11976	18654
391	12008	18625
392	12031	18582
393	12061	18551
394	12090	18518
395	12121	18488
396	12147	18451
397	12179	18421
398	12209	18390
399	12242	18364
400	12265	18321
401	12298	18295
402	12324	18257
403	12355	18228
404	12378	18186
405	12410	18156
406	12433	18115
407	12466	18088
408	12495	18056
409	12525	18024
410	12561	18001
411	12590	17968
412	12619	17936
413	12643	17896
414	12677	17870
415	12713	17848
416	12737	17808
417	12770	17780
418	12801	17750
419	12827	17713
420	12861	17688
421	12887	17651
422	12919	17622
423	12951	17594
424	12985	17568
425	13010	17530
426	13043	17503
427	13069	17467
428	13102	17439
429	13129	17404
430	13166	17382
431	13200	17355
432	13233	17328
433	13259	17292
434	13292	17265
435	13320	17230
436	13354	17205
437	13378	17165
438	13408	17134
439	13435	17099
440	13469	17073
441	13497	17039
442	13532	17014
443	13559	16979
444	13584	16942
445	13617	16915
446	13646	16882
447	13672	16846
448	13703	16816
449	13728	16778
450	13759	16749
451	13790	16719
452	13824	16692
453	13847	16653
454	13884	16630
455	13915	16600
456	13941	16564
457	13974	16537
458	14005	16507
459	14029	16469
460	14060	16439
461	14086	16403
462	14118	16375
463	14144	16338
464	14175	16309
465	14203	16276
466	14233	16245
467	14265	16216
468	14296	16186
469	14325	16154
470	14348	16115
471	14381	16087
472	14412	16058
473	14439	16023
474	14467	15990
475	14490	15952
476	14517	15917
477	14541	15880
478	14569	15847
479	14598	15814
480	14621	15776
481	14649	15743
482	14678	15711
483	14707	15679
484	14736	15648
485	14764	15614
486	14794	15584
487	14818	15547
488	14851	15519
489	14871	15478
490	14903	15449
491	14925	15411
492	14957	15381
493	14986	15350
494	15017	15321
495	15040	15283
496	15070	15252
497	15100	15222
498	15128	15189
499	15157	15157
500	15181	15121
501	15211	15090
502	15239	15057
503	15272	15030
504	15303	15000
505	15329	14965
506	15361	14937
507	15394	14910
508	15427	14882
509	15453	14847
510	15486	14819
511	15520	14792
512	15552	14763
513	15585	14736
514	15615	14706
515	15641	14671
516	15676	14645
517	15705	14614
518	15729	14578
519	15762	14549
520	15795	14522
521	15827	14493
522	15856	14461
523	15878	14423
524	15921	14405
525	15947	14371
526	15971	14335
527	15991	14295
528	16020	14264
529	16043	14227
530	16065	14189
531	16084	14149
532	16116	14121
533	16144	14088
534	16171	14056
535	16197	14021
536	16220	13985
537	16250	13954
538	16275	13919
539	16302	13887
540	16325	13850
541	16356	13821
542	16382	13787
543	16406	13752
544	16437	13723
545	16464	13690
546	16490	13656
547	16521	13627
548	16551	13596
549	16580	13565
550	16605	13531
551	16634	13500
552	16658	13465
553	16693	13438
554	16719	13406
555	16754	13379
556	16777	13343
557	16812	13317
558	16841	13286
559	16870	13255
560	16901	13226
561	16932	13196
562	16962	13166
563	16990	13134
564	17011	13097
565	17046	13071
566	17070	13036
567	17102	13007
568	17125	12972
569	17154	12941
570	17186	12912
571	17215	12881
572	17239	12847
573	17267	12815
574	17300	12787
575	17327	12755
576	17355	12723
577	17383	12691
578	17412	12661
579	17437	12627
580	17468	12597
581	17499	12568
582	17528	12537
583	17559	12508
584	17583	12473
585	17616	12445
586	17645	12415
587	17670	12381
588	17701	12352
589	17731	12321
590	17759	12290
591	17785	12257
592	17818	12229
593	17849	12200
594	17880	12170
595	17902	12135
596	17934	12106
597	17960	12073
598	17990	12043
599	18016	12011
600	18048	11982
601	18078	11952
602	18101	11917
603	18136	11891
604	18161	11857
605	18197	11831
606	18235	11806
607	18270	11779
608	18300	11749
609	18331	11720
610	18354	11685
611	18387	11657
612	18424	11631
613	18456	11602
614	18482	11570
615	18517	11543
616	18550	11515
617	18580	11484
618	18613	11457
