Date,Score,Url,IP
2025-04-04 09:34:13,8.2,https://secure1bmoonline.com/BMOMobileBanking.html,173.0.55.187
2025-04-07 21:33:29,8.1,https://bankofamerica-qa.azurewebsites.net/auth/login/?next=/app/redirect/?user-agent=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,51.104.28.77
2025-03-26 11:00:19,8.0,https://apple-internal-acs-support.com/signin.html?InvitationUrl=ec2e1c6d455af044fa56d49728ab0363&KeyInvite=ec2e1c6d455af044fa56d49728ab0363,181.174.166.24
2025-02-22 19:51:31,8.0,https://amazon-prime-opui.openplatform.co/amazonprime/125713739864%E2%80%9D,45.60.31.24
2025-04-06 21:37:39,7.9,https://signin10log0onlinewp-mbissl.github.io/live.com/,2606:50c0:8001::153
2025-02-21 21:42:24,7.9,http://www.busanopen.org/office/msgvoice/cmd-login=a2a7938099b2075bd8b9b69804524753/wrongpass.php,218.237.65.52
2025-03-31 15:30:30,7.7,https://cgdparticulares.com/login.php,193.233.164.2
2025-02-28 11:13:52,7.7,https://www.roblox.web.pk/games/10449761463/KJ-The-Strongest-Battlegrounds?privateServerLinkCode=83860901690167810306975271670583,5.252.33.166
2025-03-07 21:32:17,7.7,https://auth.gy/_CRv7SLQFSe0krIu1w?/facebook_secure_account?id=759347502378427672987349826578129038123807394,172.67.135.230
2025-02-17 09:45:09,7.7,http://www.shorten.is/@authenticateinformationfacebook34588533/,104.21.26.120
2025-04-03 21:33:25,7.7,https://mondialrelay-serviceclients.com/check/calcul.php,45.139.104.24
2025-03-27 09:48:47,7.6,http://zezm.pnsiayfas.net/?loginid=https:/www.apple.com/ap/signin/zhphbb,2606:4700:3030::ac43:c7fa
2025-02-21 00:37:37,7.6,https://www.dropbox.com/scl/fi/dkzlsahkdzz23seojkb9c/Bt-Internet.papert?dl=0&rlkey=0m4cfikz32lt8885e2i6trchz&st=12xt8lhl,2620:100:6019:18::a27d:412
2025-02-27 21:38:45,7.6,https://proorange.godaddysites.com/?user-agent=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36,13.248.243.5
2025-03-05 21:33:38,7.6,https://fokuren.ru/wp-includes/cgi-/mex/amex.online/blob.html,87.236.16.109
2025-02-27 09:37:10,7.5,http://secure348.inmotionhosting.com/~wellri6/wp-admin/user/billing.php,198.46.91.127
2025-02-16 21:37:12,7.5,https://desafio.org/cm-gtm-test/cmd398/html/information.php?access.x34256859656&&data.x=en_6196a8a449eb4426e58c5db9c,190.210.186.242
2025-03-23 21:37:47,7.5,http://www.racingparts.ru/.PPL/service/home/myaccount/bank.php?country.x=&locale.x=en_&client=101a1964zog3f252p312qxy7121rhe,109.94.209.214
2025-03-10 21:35:59,7.5,https://desibel.com/diller/wp-includes/fonts/normal/login.html?cmd=login_submit&id=b0e416942583861849075bd40af8b63fb0e416942583861849075bd40af8b63f&session=b0e416942583861849075bd40af8b63fb0e416942583861849075bd40af8b63f,176.53.12.17
2025-04-03 23:00:21,7.4,https://web86.secure-secure.co.uk/arelkatombb.co.uk/shark/db/42HRHW98TH8H83/,79.170.44.86
2025-02-20 23:06:44,7.4,https://www.it-supportdesk.com/signin?t=eyJhbGciOiJIUzI1NiJ9.eyJ0cmFja2luZ190b2tlbiI6ImRiNjcxMGVkLWZmNDktNGFmMy1iZTU4LTJkODJhN2U0MmRlNSIsImNlbGwiOiJodHRwczovL3FnYmZ3b3c2MGYuZXhlY3V0ZS1hcGkudXMtd2VzdC0yLmFtYXpvbmF3cy5jb20vcHJvZC9hcGkvcGhpc2hpbmdjYW1wYWlnbiIsImNhbXBhaWduX3Rva2VuIjoiMTc4MjRmZGEtYTFiMy00MDdkLWI3N2YtMzkwMTA2N2M2MzFlIiwidGVzdF90b2tlbiI6ZmFsc2UsImV4dGVybmFsX3RyYWluaW5nIjpmYWxzZSwiZGlyZWN0X2RlbGl2ZXJ5Ijp0cnVlLCJpYXQiOjE3NDAwNzA4ODAsImlzcyI6Imh0dHBzOi8vYXBwLnBoaXNodGhyZWF0LmNvbSIsImV4cCI6MTc0Nzg0Njg4MH0.8ctZ0BaBcOJ0FseNZmK9uzuAeW7_rYzW4mzSQxlfQ0Q,54.78.75.134
2025-04-03 21:33:20,7.4,https://mondiai-colisreiay.com/check/calcul.php,45.139.104.24
2025-03-21 09:27:12,7.4,http://mail.raofuturefinance.com.au/rbfcu/login/ses/session_index.php,103.20.202.177
2025-02-09 14:05:19,7.4,https://tri-centre-livraison.com/pac/calcul.php,45.139.104.165
2025-03-13 21:34:54,7.3,https://mail-support.mos.ap-southeast-2.sufybkt.com/Password_expiry%20notice_countdown.html#a@b.com,103.5.211.13
2025-04-08 09:41:42,7.3,https://user.fm/files/v2-3bad49f9ed6b833a2270515477273897/office%20p%20(1).html,103.168.172.41
2025-04-02 22:59:47,7.3,http://iaterts.net/tinkerfcu/Login/info.php,172.93.120.102
2025-03-02 11:07:54,7.3,https://www.sandiferreteria.com/i/?bGFuZz1lbiZzdj1nZW5lcmFsJnJib3g9Y2hyaXN0b3BoZXI#info@domain.it,192.185.90.193
2025-02-19 21:38:53,7.3,https://gsx2-manager-portal.com/signin.html?InvitationUrl=2e6538f1d5c7000937d814274c43c4d6&KeyInvite=2e6538f1d5c7000937d814274c43c4d6,181.174.166.15
2025-03-29 21:34:06,7.3,http://thestrategicfirm.com.dragonflydowser.com/.confirm/eft/thestrategicfirm.com/3mail@b.c,104.245.240.188
2025-02-26 21:34:48,7.3,https://spectrumtwcroadrunner3.weebly.com/?user-agent=Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20,74.115.51.8
2025-04-03 21:36:16,7.3,http://sterlingbiz.club/pages/spotify/auth/login.php,94.156.177.6
2025-03-09 09:37:49,7.2,https://myjobdhl.earcu.com/jobs/vacancy/33957/applicationlogin/,108.138.106.75
2025-02-17 21:46:51,7.2,http://www.shorten.tv/@helpcontact6464/,104.21.48.1
2025-04-05 09:52:34,7.2,https://myaccount-renew2025.com/how/calcul.php,45.139.104.81
2025-04-07 09:31:43,7.2,https://service-mondiai.com/pac/calcul.php,179.43.172.148
2025-03-13 01:35:26,7.2,https://new.express.adobe.com/webpage/uv5pIZN6wt9HM,108.138.106.92
2025-03-18 09:33:52,7.2,https://bitcb-tlform.net/login.php,91.212.166.122
2025-03-26 06:30:23,7.2,https://formulaire-cpamsante.com/ask/calcul.php,185.14.92.147
2025-03-14 15:35:01,7.2,https://www.grwebsites.com/free/helenm19601@gmail.com/eebt,2607:f8b0:4006:80b::2013
2025-04-05 19:22:02,7.2,http://netflixgpt-66e93.firebaseapp.com,2620:0:890::100
2025-04-07 02:01:58,7.2,https://zakopane-magdalenka.pl//wp-includes/sodium_compat/namespaced/Core/bel/zen/lbg/lb/net/login.php,185.40.199.50
2025-02-27 21:39:18,7.1,https://recoverybypp.com/help,185.163.127.162
2025-03-22 21:37:37,7.1,https://c8f37cd0-form-verify-account-restricted.vercel.app/case/100081295808699.html/,64.29.17.129
2025-03-07 21:42:51,7.1,https://talence.io/newcomswiss25/swisssa20244/swisscom/index2.php/,162.241.85.26
2025-02-26 11:05:49,7.1,https://elcynhaxrq087.curiouskidsphotography.com:8443/impact?ooZvbdy2ixj1nbbfn4c=3mail@b.c,2606:4700:3036::6815:5be2
2025-03-18 09:38:26,7.1,https://www.creditopersonalcard1f.ru/validaciones/cardif/13,76.76.21.164
2025-02-18 23:05:29,7.1,https://sadgurutravels.org/terms/css/QqrlMua/3mail@b.c,51.210.156.4
