f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
2,0,23,223,10,2,0,0,0,0,10,278,0,0,0,20,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,15,784,0.15051020408163265,0,15,1,0,0,16,2,0.1111111111111111,False
11,0,46,99,13,10,0,0,0,0,12,159,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,1,16,529,0.17958412098298676,2,6,0,4,0,31,11,0.2619047619047619,False
28,0,12,0,3,8,0,22,0,0,8,37,0,0,1,0,0,0,0,22,22,0,0,1,0,1,0,0,2,0,0,0,12,245,0.3183673469387755,4,17,3,0,0,1,28,0.9655172413793104,False
27,0,13,0,3,7,0,28,1,0,32,58,0,0,1,8,0,0,0,31,31,1,0,1,0,1,0,0,2,0,0,0,16,534,0.2696629213483146,3,36,3,1,0,1,27,0.9642857142857143,False
28,0,12,0,3,8,0,22,0,0,8,37,0,0,1,0,0,0,0,22,22,0,0,1,0,1,0,0,2,0,0,0,12,245,0.3183673469387755,4,17,3,0,0,1,28,0.9655172413793104,False
1,0,2,1,5,0,0,8,1,0,1,0,0,1,0,0,0,0,0,11,11,1,0,1,0,0,0,0,4,1,4,2,8,56,0.26785714285714285,0,4,2,0,0,1,1,0.5,False
43,0,13,2,4,12,0,0,0,0,30,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,3,2,38,1956,0.11554192229038855,2,1801,5,2,0,2,43,0.9555555555555556,False
1,0,2,1,3,0,0,8,1,0,1,0,0,1,0,0,0,0,0,11,11,1,0,1,0,0,0,0,0,1,1,1,8,54,0.2777777777777778,0,4,2,0,0,1,1,0.5,False
4,0,12,6,13,2,0,0,0,0,16,193,0,0,1,24,0,0,0,1,1,0,0,0,0,1,0,0,7,0,8,10,21,2821,0.2853598014888337,0,83,4,0,0,6,4,0.4,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
26,0,8,0,18,19,1,0,1,0,0,113,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,1,4,13,984,0.14532520325203252,6,28,1,3,0,1,26,0.9629629629629629,False
36,0,9,0,17,3,0,54,6,1,14,11,0,0,1,8,0,0,0,54,54,0,0,1,1,0,0,0,0,0,1,4,24,456,0.30043859649122806,4,6,0,0,0,6,36,0.8571428571428571,False
36,0,9,0,17,3,0,54,6,1,14,11,0,0,1,8,0,0,0,54,54,0,0,1,1,0,0,0,0,0,1,4,24,456,0.30043859649122806,4,6,0,0,0,6,36,0.8571428571428571,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0.1,0,0,1,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0.1,0,0,1,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,False
1,0,17,0,17,6,0,0,2,0,29,73,0,0,4,7,0,0,0,4,4,0,0,3,0,1,0,0,1,0,0,0,14,445,0.18651685393258427,5,0,1,0,0,40,1,0.024390243902439025,False
1,0,17,0,17,6,0,0,2,0,29,73,0,0,4,7,0,0,0,4,4,0,0,3,0,1,0,0,1,0,0,0,14,445,0.18651685393258427,5,0,1,0,0,40,1,0.024390243902439025,False
1,0,17,0,17,6,0,0,2,0,29,73,0,0,4,7,0,0,0,4,4,0,0,3,0,1,0,0,1,0,0,0,14,445,0.18651685393258427,5,0,1,0,0,40,1,0.024390243902439025,False
5,0,6,0,1,3,0,0,0,0,10,7,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,178,0.20224719101123595,2,11,0,0,0,14,5,0.2631578947368421,False
14,0,10,1,15,14,0,49,1,4,163,271,0,0,1,13,0,0,0,50,50,0,0,18,0,0,0,0,1,0,4,1,21,2332,0.22898799313893653,21,40,0,3,0,192,14,0.06796116504854369,False
