f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,True
27,0,3,0,35,21,2,8,2,0,56,191,0,0,0,0,5,0,5,15,15,5,0,0,0,1,0,132,22,0,21,23,18,738,0.18157181571815717,7,41,6,17,0,52,27,0.34177215189873417,True
0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,True
0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,True
0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,True
0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,True
5,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0.65,2,0,1,0,0,0,5,1.0,True
1,0,3,1,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,77,0.37662337662337664,1,1,1,6,0,8,1,0.1111111111111111,True
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,15,0.4666666666666667,0,0,1,0,0,1,0,0.0,True
0,0,7,0,1,1,0,0,0,0,15,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,93,0.21505376344086022,2,2,0,0,0,18,0,0.0,True
0,0,9,0,2,1,0,0,0,0,23,27,0,0,1,0,0,0,0,8,8,0,0,1,0,0,0,10,0,0,0,1,10,127,0.33858267716535434,2,1,0,2,0,26,0,0.0,True
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0.5384615384615384,0,0,0,0,0,0,0,0.0,True
0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,52,0.11538461538461539,0,0,1,0,0,5,0,0.0,True
4,0,17,66,31,10,0,0,0,0,58,146,0,1,0,8,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,12,683,0.20937042459736457,3,13,12,3,0,67,4,0.056338028169014086,True
5,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0.65,2,0,1,0,0,0,5,1.0,True
5,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0.65,2,0,1,0,0,0,5,1.0,True
7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,0.8260869565217391,5,0,1,0,0,16,7,0.30434782608695654,True
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0.5384615384615384,0,0,0,0,0,0,0,0.0,True
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0.5384615384615384,0,0,0,0,0,0,0,0.0,True
1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,23,0.5217391304347826,0,1,1,0,0,3,1,0.25,True
0,0,0,0,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,0.6888888888888889,2,2,2,0,0,9,0,0.0,True
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0.23076923076923078,1,2,1,0,0,0,1,1.0,True
2,0,2,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,35,0.7142857142857143,1,0,0,0,0,6,2,0.25,True
4,0,17,66,31,10,0,0,0,0,58,146,0,1,0,8,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,12,683,0.2108345534407028,3,13,12,3,0,67,4,0.056338028169014086,True
23,0,17,0,1,18,1,0,1,1,1,19,0,0,1,3,0,0,0,5,5,2,0,0,0,0,0,0,0,0,19,2,14,186,0.3548387096774194,5,3,1,0,0,5,23,0.8214285714285714,True
1,0,3,1,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,77,0.37662337662337664,1,1,1,6,0,8,1,0.1111111111111111,True
1,0,3,1,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,77,0.37662337662337664,1,1,1,6,0,8,1,0.1111111111111111,True
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0.5384615384615384,0,0,0,0,0,0,0,0.0,True
4,0,17,66,31,10,0,0,0,0,58,146,0,1,0,8,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,12,683,0.2108345534407028,3,13,12,3,0,67,4,0.056338028169014086,True
10,1,3,0,8,3,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,203,0.4039408866995074,3,5,2,1,0,1,11,0.9166666666666666,True
1,0,2,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,48,0.4375,0,0,2,0,0,0,1,1.0,True
1,0,2,0,7,11,0,0,0,2,32,75,0,0,1,5,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,15,406,0.20935960591133004,1,19,2,0,0,51,1,0.019230769230769232,True
0,0,14,1,0,2,0,0,0,0,9,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,81,0.24691358024691357,2,20,0,0,0,14,0,0.0,True
4,0,7,1,2,3,0,0,1,0,2,3,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,9,47,0.40425531914893614,6,1,2,0,0,8,4,0.3333333333333333,True
1,0,3,1,5,3,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,75,0.36,1,1,1,6,0,6,1,0.14285714285714285,True
0,0,0,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,0.6956521739130435,2,2,2,0,0,10,0,0.0,True
0,0,0,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46,0.6956521739130435,2,2,2,0,0,10,0,0.0,True
1,0,3,1,4,3,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,74,0.36486486486486486,1,1,1,6,0,6,1,0.14285714285714285,True
