domain,url,html_file
k551005.cc,https://k551005.cc/,data/raw/phishing/k551005.cc_7397a8f5.html
cqbkzzncbt.anime-sama.fr.global.prod.fastly.net,http://cqbkzzncbt.anime-sama.fr.global.prod.fastly.net/ZTNhOWJlODZkZDliNDMzZGJkMGQ4Zg==/xhtq.php,data/raw/phishing/cqbkzzncbt.anime-sama.fr.global.prod.fastly.net_75dfedf9.html
sxhhtest.com,http://sxhhtest.com/,data/raw/phishing/sxhhtest.com_f7de085f.html
www.bsswapp.com,http://www.bsswapp.com/,data/raw/phishing/www.bsswapp.com_ef283cb2.html
cc168a.com,http://cc168a.com/,data/raw/phishing/cc168a.com_fb67ea0a.html
551003k.cc,https://551003k.cc/,data/raw/phishing/551003k.cc_d32db19c.html
57365vv.cc,http://57365vv.cc,data/raw/phishing/57365vv.cc_96eb0c33.html
oclean-nettoyage-debarras.fr,https://oclean-nettoyage-debarras.fr/wp-content/uploads/2022/08/nl/rdlni/?id=4cd66436d426b3eb013e77fd63074f27-qc9b14luv9f675q9vod9u2,data/raw/phishing/oclean-nettoyage-debarras.fr_2fdd549b.html
20970518.com,http://20970518.com/,data/raw/phishing/20970518.com_182d8663.html
obxbnbinn.com,http://obxbnbinn.com,data/raw/phishing/obxbnbinn.com_e9034270.html
m.52xmpt.com,http://m.52xmpt.com/,data/raw/phishing/m.52xmpt.com_c58ccd3e.html
sea.avbzwgb7.eu.org,https://sea.avbzwgb7.eu.org/,data/raw/phishing/sea.avbzwgb7.eu.org_dc4565b7.html
s.team-n.cc,https://s.team-n.cc/p/gkhs-kwlp/pcbaqqbb/,data/raw/phishing/s.team-n.cc_0f9c9554.html
770001.com,https://770001.com/,data/raw/phishing/770001.com_d83a83ed.html
028saibo.com,http://028saibo.com/,data/raw/phishing/028saibo.com_fda97b34.html
combate.tec.br,https://combate.tec.br/ek/spotify/auth/login.php,data/raw/phishing/combate.tec.br_f8f0eea7.html
67144975365.com,http://67144975365.com,data/raw/phishing/67144975365.com_a5d4c3a3.html
www57365.cc,http://www57365.cc/index_m.html,data/raw/phishing/www57365.cc_9f96639d.html
www.ifexcapital.com,https://www.ifexcapital.com/,data/raw/phishing/www.ifexcapital.com_5e186404.html
maxseller.cl,https://maxseller.cl/catalogo/images/BIGLOBE.php,data/raw/phishing/maxseller.cl_e4b08162.html
iffii.com,https://iffii.com/@anc8e,data/raw/phishing/iffii.com_a862d4af.html
fujianzhiyuntong.com,https://fujianzhiyuntong.com/,data/raw/phishing/fujianzhiyuntong.com_5d71ffef.html
strivers168.com,https://strivers168.com/,data/raw/phishing/strivers168.com_33bdcda5.html
30px.net,https://30px.net,data/raw/phishing/30px.net_38464ecd.html
mailsync.is-an-anarchist.com,https://mailsync.is-an-anarchist.com/index.php?user=0v0@0v0.com,data/raw/phishing/mailsync.is-an-anarchist.com_d842f828.html
aa6589.com,http://aa6589.com/,data/raw/phishing/aa6589.com_6f2a4550.html
iman158.com,https://iman158.com/,data/raw/phishing/iman158.com_b67addd6.html
w12377.com,http://w12377.com/,data/raw/phishing/w12377.com_1df8cbda.html
webwebapp.top,https://webwebapp.top/,data/raw/phishing/webwebapp.top_b838b6ad.html
schedlgesmbh.com,https://schedlgesmbh.com/express.php,data/raw/phishing/schedlgesmbh.com_5e9482c0.html
axrpsbfzlmqok.ink,https://axrpsbfzlmqok.ink/,data/raw/phishing/axrpsbfzlmqok.ink_109c0c7f.html
57365bb.cc,http://57365bb.cc,data/raw/phishing/57365bb.cc_f326d844.html
www.cstoursandtravels.com,http://www.cstoursandtravels.com/were.php,data/raw/phishing/www.cstoursandtravels.com_b15d0258.html
jh1.xuexi02.top,http://jh1.xuexi02.top,data/raw/phishing/jh1.xuexi02.top_99a63352.html
qwzpmkxnch.wiki,http://qwzpmkxnch.wiki,data/raw/phishing/qwzpmkxnch.wiki_4dc14213.html
saibo779.cc,https://saibo779.cc/,data/raw/phishing/saibo779.cc_5ecec7ad.html
facxesdbooil.top,https://facxesdbooil.top/,data/raw/phishing/facxesdbooil.top_61535daf.html
wk3.safecnc.top,http://wk3.safecnc.top/,data/raw/phishing/wk3.safecnc.top_9b6e3d4b.html
fsx1163.top,https://fsx1163.top/,data/raw/phishing/fsx1163.top_93179025.html
fernandacoracini.com,https://fernandacoracini.com/oficial/,data/raw/phishing/fernandacoracini.com_878cd974.html
bzgheiyuql.shop,https://bzgheiyuql.shop,data/raw/phishing/bzgheiyuql.shop_b47ef848.html
b1276.cc,https://b1276.cc,data/raw/phishing/b1276.cc_2b7ce674.html
g551000.cc,http://g551000.cc/,data/raw/phishing/g551000.cc_7e58b21f.html
f551008.cc,https://f551008.cc/,data/raw/phishing/f551008.cc_6f03909c.html
annulation-checkpoint.com,https://annulation-checkpoint.com/unsubscribe.php,data/raw/phishing/annulation-checkpoint.com_af589bf5.html
551004n.cc,http://551004n.cc/,data/raw/phishing/551004n.cc_9516e53a.html
cjpqb.com,https://cjpqb.com/,data/raw/phishing/cjpqb.com_c4d5233c.html
inchix-gowbx.cyntaxx.shop,https://inchix-gowbx.cyntaxx.shop/,data/raw/phishing/inchix-gowbx.cyntaxx.shop_1316231f.html
ln.run,https://ln.run/JX6hw,data/raw/phishing/ln.run_9883936a.html
aimarketingtools.cloud,https://aimarketingtools.cloud/m21/x3j83gz4jxb932b4xzx-27x8zxve7nxb9nx-xv837ezxmx8exj2je9-d73jsgdv386-49b3xbb7303-cns83nx83ke7677-387bx45b-32c0-83e6-1d93765276caxnc,data/raw/phishing/aimarketingtools.cloud_f9b65f1d.html
pbgmobile-pc.ru,http://pbgmobile-pc.ru/,data/raw/phishing/pbgmobile-pc.ru_7d8d0c65.html
67860075365.com,http://67860075365.com,data/raw/phishing/67860075365.com_633f2773.html
551003l.cc,http://551003l.cc/,data/raw/phishing/551003l.cc_4a3553f4.html
redwhatsapp.com,https://redwhatsapp.com/pro-snapchat/files/?urls=WFdIMmJUcGtpL1VCM2J4WklmbC8yT3FOMCtTTmVPeWd1UG9QY1A%202ZFAvc2JrbVZXakRSbDE2cFUvZ09ac3IzTw,data/raw/phishing/redwhatsapp.com_d6ae1fd3.html
tk3308.com,http://tk3308.com/,data/raw/phishing/tk3308.com_b71bb3dc.html
g551005.cc,http://g551005.cc/,data/raw/phishing/g551005.cc_9bc553d3.html
rechtsanwalt-liste24.de,https://rechtsanwalt-liste24.de/webmail.aruba.it/webmail.aruba.it/index.html,data/raw/phishing/rechtsanwalt-liste24.de_7fd96ee2.html
www.1632888.com,http://www.1632888.com,data/raw/phishing/www.1632888.com_e54f9185.html
steam.bywg.vip,http://steam.bywg.vip/,data/raw/phishing/steam.bywg.vip_2b214f43.html
cicliscipio.com,http://cicliscipio.com,data/raw/phishing/cicliscipio.com_c08ba967.html
www.roblox.web.pk,https://www.roblox.web.pk/games/10449761463/KJ-The-Strongest-Battlegrounds?privateServerLinkCode=83860901690167810306975271670583,data/raw/phishing/www.roblox.web.pk_1421ca39.html
secure66.webhostinghub.com,https://secure66.webhostinghub.com/~dcf1935/bi9/8877347JH/,data/raw/phishing/secure66.webhostinghub.com_7daa5338.html
www.fndedtrdplus.com,http://www.fndedtrdplus.com,data/raw/phishing/www.fndedtrdplus.com_b8ca74c2.html
qmsuat.infomanav.com,http://qmsuat.infomanav.com/,data/raw/phishing/qmsuat.infomanav.com_1e1aef06.html
www.aegtecnoservice.it,http://www.aegtecnoservice.it/public/json2023/,data/raw/phishing/www.aegtecnoservice.it_a653e112.html
www.551006s.cc,http://www.551006s.cc/,data/raw/phishing/www.551006s.cc_094ca5d5.html
www.sdjuxue.com,http://www.sdjuxue.com/shuzihuobi/6745.html,data/raw/phishing/www.sdjuxue.com_2e9b98b3.html
gsx2-manager-portal.com,https://gsx2-manager-portal.com/signin.html?InvitationUrl=2e6538f1d5c7000937d814274c43c4d6&KeyInvite=2e6538f1d5c7000937d814274c43c4d6,data/raw/phishing/gsx2-manager-portal.com_7bb12c8f.html
ok6154.top,https://ok6154.top/,data/raw/phishing/ok6154.top_099be111.html
686t.vip,http://686t.vip,data/raw/phishing/686t.vip_218c0a90.html
2.788897.xyz,http://2.788897.xyz/,data/raw/phishing/2.788897.xyz_29ed127b.html
i57365.cc,http://i57365.cc,data/raw/phishing/i57365.cc_c52ddc8e.html
e551006.cc,https://e551006.cc/,data/raw/phishing/e551006.cc_ba82d7cd.html
survey.workplace.fit,http://survey.workplace.fit/static/oijfdoiwepq98ruy892134987123g4589y0gv2138y4rgv128y3g4r80g230rq4/templates/Login-6/,data/raw/phishing/survey.workplace.fit_e58f49a0.html
caixadirectaprotecynet.com,https://caixadirectaprotecynet.com/main/last.php,data/raw/phishing/caixadirectaprotecynet.com_bac02432.html
urlra.com,https://urlra.com/xkFpE,data/raw/phishing/urlra.com_35e9fe54.html
i551000.cc,https://i551000.cc/,data/raw/phishing/i551000.cc_fbd5bba7.html
rrpostoffice.com,https://rrpostoffice.com/amazon/,data/raw/phishing/rrpostoffice.com_0daa5a7a.html
ec21.uber.space,http://ec21.uber.space/ec21.com/login.html,data/raw/phishing/ec21.uber.space_c1821e4c.html
imvtokcen.com,https://imvtokcen.com/en.html,data/raw/phishing/imvtokcen.com_f8b3e128.html
365.qwe123-asd456-zxc789.xinxuezz.com,https://365.qwe123-asd456-zxc789.xinxuezz.com/xin,data/raw/phishing/365.qwe123-asd456-zxc789.xinxuezz.com_195e3786.html
551008s.cc,http://551008s.cc,data/raw/phishing/551008s.cc_25bec79c.html
long-star-2a9d.deskdemocratic7451.workers.dev,https://long-star-2a9d.deskdemocratic7451.workers.dev/du8-!@&bzpfoe51lqbxxzwyjhcurkw3!&@aj8uefkuzyzg1f7a9@&!-.s.*@i**.gov-baxwio/aokappcore/QRApUK2fd4t0HcPbMz7qg3FL1CW9.ico,data/raw/phishing/long-star-2a9d.deskdemocratic7451.workers.dev_20897396.html
rhbztbmvjc.top,https://rhbztbmvjc.top/,data/raw/phishing/rhbztbmvjc.top_f8e5774e.html
spotifyw.vip,https://spotifyw.vip/,data/raw/phishing/spotifyw.vip_e4878d6a.html
new.events-games.com,https://new.events-games.com/EhCHF,data/raw/phishing/new.events-games.com_cda8a782.html
imbrnoivpkx.wiki,https://imbrnoivpkx.wiki/,data/raw/phishing/imbrnoivpkx.wiki_79411e89.html
www.lovemusicforall.com,https://www.lovemusicforall.com/,data/raw/phishing/www.lovemusicforall.com_e49d521b.html
babyshopvip.com,http://babyshopvip.com/,data/raw/phishing/babyshopvip.com_f0ba450a.html
668889.vip,http://668889.vip,data/raw/phishing/668889.vip_d2bcccd7.html
app-office03voicemail-protection.com,http://app-office03voicemail-protection.com/253c99bda78c982515dba079aad11934665573cc6451fLOG253c99bda78c982515dba079aad11934665573cc64520,data/raw/phishing/app-office03voicemail-protection.com_a1f8ab79.html
m.jzjxzdh.com,http://m.jzjxzdh.com,data/raw/phishing/m.jzjxzdh.com_0fc598e4.html
365.qwe123-asd456-zxc789.365668.top,https://365.qwe123-asd456-zxc789.365668.top/,data/raw/phishing/365.qwe123-asd456-zxc789.365668.top_efe9909b.html
o365-doc-uments.com,http://o365-doc-uments.com/d589ec8728b403f0eb972eaeb7629d6b6670e3b3841c3LOGd589ec8728b403f0eb972eaeb7629d6b6670e3b3841c4,data/raw/phishing/o365-doc-uments.com_fb982bc8.html
www.shorten.world,http://www.shorten.world/@resolution_assistance_13466/,data/raw/phishing/www.shorten.world_5699efcd.html
office-whctklbfqsmxrv.com,http://office-whctklbfqsmxrv.com/M3mail@b.c,data/raw/phishing/office-whctklbfqsmxrv.com_f6a13463.html
www.accountsupport247.click,https://www.accountsupport247.click/helppage,data/raw/phishing/www.accountsupport247.click_6d41d7df.html
