screenshot_path,domain,hash_id,is_phishing
data/raw\screenshots\phishing\999991l.com_ee67e681.png,999991l.com,ee67e681,1
data/raw\screenshots\legit\dnszi.com_d18e43a3.png,dnszi.com,d18e43a3,0
data/raw\screenshots\phishing\www.pb3651.cc_8989_be2b9042.png,www.pb3651.cc,8989,1
data/raw\screenshots\phishing\desibel.com_521c3e10.png,desibel.com,521c3e10,1
data/raw\screenshots\legit\www.alipay.com_ffd0fa60.png,www.alipay.com,ffd0fa60,0
data/raw\screenshots\phishing\fullaski.com_2ac93fe6.png,fullaski.com,2ac93fe6,1
data/raw\screenshots\legit\cdbaby.com_32e1c81e.png,cdbaby.com,32e1c81e,0
data/raw\screenshots\legit\www.engadget.com_d77052ef.png,www.engadget.com,d77052ef,0
data/raw\screenshots\legit\www.google.md_19fac450.png,www.google.md,19fac450,0
data/raw\screenshots\legit\www.zoznam.sk_25e653eb.png,www.zoznam.sk,25e653eb,0
data/raw\screenshots\legit\www.shayanews.com_a8dd99b3.png,www.shayanews.com,a8dd99b3,0
data/raw\screenshots\legit\www.rat.xxx_f0a1d095.png,www.rat.xxx,f0a1d095,0
data/raw\screenshots\phishing\www.appeasy.org_c81016aa.png,www.appeasy.org,c81016aa,1
data/raw\screenshots\legit\electrek.co_ac4532cc.png,electrek.co,ac4532cc,0
data/raw\screenshots\legit\vds-shop.com_82a311df.png,vds-shop.com,82a311df,0
data/raw\screenshots\legit\www.ucalgary.ca_aa60b8fe.png,www.ucalgary.ca,aa60b8fe,0
data/raw\screenshots\phishing\nlink.at_f15d67f8.png,nlink.at,f15d67f8,1
data/raw\screenshots\legit\www.learncbse.in_b1ea7afb.png,www.learncbse.in,b1ea7afb,0
data/raw\screenshots\legit\vkusvill.ru_40494eaa.png,vkusvill.ru,40494eaa,0
data/raw\screenshots\phishing\document.angelbridalonline.com_d198bc6a.png,document.angelbridalonline.com,d198bc6a,1
data/raw\screenshots\legit\pikabu.ru_a444a4ae.png,pikabu.ru,a444a4ae,0
data/raw\screenshots\legit\www.serviporno.com_08117543.png,www.serviporno.com,08117543,0
data/raw\screenshots\phishing\8158158.top_c9276470.png,8158158.top,c9276470,1
data/raw\screenshots\legit\xs4all.nl_eed7fb66.png,xs4all.nl,eed7fb66,0
data/raw\screenshots\legit\l-tike.com_f843131d.png,l-tike.com,f843131d,0
data/raw\screenshots\legit\www.navitime.co.jp_3dbc03a4.png,www.navitime.co.jp,3dbc03a4,0
data/raw\screenshots\legit\fivem.net_e19bf77d.png,fivem.net,e19bf77d,0
data/raw\screenshots\phishing\luis76as.com_4450f358.png,luis76as.com,4450f358,1
data/raw\screenshots\phishing\steammcommunuity.com_ab4df542.png,steammcommunuity.com,ab4df542,1
data/raw\screenshots\phishing\e551006.cc_ba82d7cd.png,e551006.cc,ba82d7cd,1
data/raw\screenshots\legit\www.hwg.org_968505a7.png,www.hwg.org,968505a7,0
data/raw\screenshots\phishing\55115n.com_6e4fc12c.png,55115n.com,6e4fc12c,1
data/raw\screenshots\phishing\or1.666786.xyz_6424faa4.png,or1.666786.xyz,6424faa4,1
data/raw\screenshots\phishing\messagere-oranges.maweb.eu_d6afca0e.png,messagere-oranges.maweb.eu,d6afca0e,1
data/raw\screenshots\legit\mega.co.nz_a02aca87.png,mega.co.nz,a02aca87,0
data/raw\screenshots\phishing\buddylv.com_c4f59e67.png,buddylv.com,c4f59e67,1
data/raw\screenshots\legit\www.usps.com_148785cd.png,www.usps.com,148785cd,0
data/raw\screenshots\legit\xkcd.com_8e670181.png,xkcd.com,8e670181,0
data/raw\screenshots\legit\www.google.com.au_6efd8173.png,www.google.com.au,6efd8173,0
data/raw\screenshots\phishing\wap.shopstylerie.com_7b3b4ea4.png,wap.shopstylerie.com,7b3b4ea4,1
data/raw\screenshots\legit\www.google.co.nz_90c87a25.png,www.google.co.nz,90c87a25,0
data/raw\screenshots\legit\spbtv.com_9f715af9.png,spbtv.com,9f715af9,0
data/raw\screenshots\legit\vds-shop.com_443_aa024b5c.png,vds-shop.com,443,0
data/raw\screenshots\legit\www.ford.com_ac5010c3.png,www.ford.com,ac5010c3,0
