domain,url,html_file,is_phishing
loveproblemsolution.org,https://loveproblemsolution.org/zone/,data/raw/phishing/loveproblemsolution.org_168ff391.html,1
google.es,http://Google.es,data/raw/legit/Google.es_3503f816.html,0
e551006.cc,https://e551006.cc/,data/raw/phishing/e551006.cc_ba82d7cd.html,1
pornohirsch.net,https://www.pornohirsch.net/?p=1272,data/raw/legit/www.pornohirsch.net_77f817e1.html,0
parnomet.shop,https://parnomet.shop/,data/raw/phishing/parnomet.shop_a35c8367.html,1
asu.edu,https://www.asu.edu/?_ga=2.220433880.1703377071.1639747918-919182406.1631831981,data/raw/legit/www.asu.edu_6bef91ad.html,0
hentaiforce.net,https://hentaiforce.net/parody/101-dalmatians,data/raw/legit/hentaiforce.net_3d244f73.html,0
fr-checkpoint.com,https://fr-checkpoint.com/?data=andre.sannicolas@icloud.com%7Candrea%7Cde+san+nicolas%7C230+avenue+de+toulon%7C13010%7Cmarseille%7C0778955618%7C2002-01-21%7Cfr7611315000010421320944722%7Ccepafrpp131%7C02/03/25,data/raw/phishing/fr-checkpoint.com_56595826.html,1
www.anelectriciancom.com,http://www.anelectriciancom.com/,data/raw/phishing/www.anelectriciancom.com_ba876f09.html,1
prodoctorov.ru,https://prodoctorov.ru/,data/raw/legit/prodoctorov.ru_1f5ddde5.html,0
www.bsswapp.com,https://www.bsswapp.com/,data/raw/phishing/www.bsswapp.com_54cca3e6.html,1
3658519.cc,https://3658519.cc,data/raw/phishing/3658519.cc_25f06859.html,1
mocpallet.vn,https://mocpallet.vn/km/pwpGjYbWh6u5Xcwq0wcImW7gNCtiPMoA3UaFxed0/2BfAjrdur0cVKHBBRd4/4VFGHD7yuWFEVNX62rNs/5raW87RX0XE01rt3/4TVQfTZWlWWaV94FvdfCov4/Client/dep.html,data/raw/phishing/mocpallet.vn_8ac0e9b3.html,1
spacex.com,https://www.spacex.com/?ref=blog.lopp.net,data/raw/legit/www.spacex.com_733e2397.html,0
imtoken.it,https://imtoken.it/,data/raw/phishing/imtoken.it_4cc5e4a3.html,1
shayanews.com,https://shayanews.com/%D8%A8%D8%AE%D8%B4-%D8%A7%D8%B2-%D9%86%DA%AF%D8%A7%D9%87-%D9%88%D8%B1%D8%B2%D8%B4-121/181726-%D9%BE%DB%8C%D8%A7%D9%85-%D9%85%D9%87%D9%85-%D8%A8%D8%A7%D8%B2%DB%8C%DA%A9%D9%86-%D9%85%D8%AD%D8%A8%D9%88%D8%A8-%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84-%D8%AF%D8%B1%D9%85%D9%88%D8%B1%D8%AF-%D8%A8%D8%A7%D8%B2%DA%AF%D8%B4%D8%AA-%D8%A8%D9%87-%D8%AA%DB%8C%D9%85,data/raw/legit/shayanews.com_a5b543b2.html,0
www.sdjuxue.com,http://www.sdjuxue.com/shuzihuobi/6745.html,data/raw/phishing/www.sdjuxue.com_2e9b98b3.html,1
monday.com,https://monday.com/accessibility-statement,data/raw/legit/monday.com_bcf06e39.html,0
squirt.org,https://www.squirt.org/about/privacy,data/raw/legit/www.squirt.org_4fb37577.html,0
zoznam.sk,http://www.zoznam.sk,data/raw/legit/www.zoznam.sk_25e653eb.html,0
steam-store.ys7z.com,http://steam-store.ys7z.com,data/raw/phishing/steam-store.ys7z.com_d9e81bb3.html,1
ixdzs.tw,https://ixdzs.tw/author/%E5%A4%A9%E4%B9%8B%E5%8D%B0,data/raw/legit/ixdzs.tw_ecf20263.html,0
bigthink.com,https://bigthink.com,data/raw/legit/bigthink.com_1aff9531.html,0
sketchup.com,https://www.sketchup.com/3dwh/,data/raw/legit/www.sketchup.com_306da705.html,0
551004l.cc,http://551004l.cc/,data/raw/phishing/551004l.cc_387a7dce.html,1
supplieradvisor.ciamlogin.com,https://supplieradvisor.ciamlogin.com/3159c7b1-0c6d-42f1-9929-f2bd2daef8bf/oauth2/v2.0/authorize?client_id=24527ed8-70ec-4b3c-9d39-d9e70c6094a4&redirect_uri=https%3A%2F%2Fconsole-dev.supplieradvisor.com%2Fsignin-oidc&response_type=code&scope=openid%20profile%20offline_access&code_challenge=2kwdvgUWEXIDIWdomoi9b6Nq6VA6HS62-tgAEQEDMUM&code_challenge_method=S256&response_mode=form_post&nonce=638774903460584217.MGM4MWU5ZGMtNThiZi00YjIwLWI3YjctYmRlM2M0N2ZlYzczMDg5ZTVlMWUtZWVhOS00MTM1LWEyMDQtMmFmMzI4ZDljMDQz&client_info=1&x-client-brkrver=IDWeb.3.1.0.0&state=CfDJ8FpsUIYUW-hJlzGNcSUaHwmL3MD1hpnEjyXbLG3U1ugU1RflaZy7yaX5_iYsbuWPXYgcvN57joEgar9xRQ-DJSdSyKZMsi2hWhAnfaRpUa6eGVgLIuMjNrQ33XzB05yLt87vfqGbXDHjS5Rtefz9uqHOQJfPezP7OTl7lN3SyH9V-FW3Odtj7vK3_3jmuKdZ0Ucz3Aade4k8Z-YH1J6iX3xvps1SX80iKYnKD5ycCi2VUwXYJ0yHQcsxYIBlEvrjEDnNyTvMrk0O62AycuhcuQKa3sZnt5AEHrwI1Br0q6UelpVQgo5YFwTYNIBygVdpM1O4xBuMOQIybqpW3JtojqDUilAmjQPUwDobWtwrA7OhC6kJKDDM5M6-K0nbWb6nRAO_DbrGCEjEqzQhX0UN69U&x-client-SKU=ID_NET8_0&x-client-ver=8.0.2.0,data/raw/phishing/supplieradvisor.ciamlogin.com_2ccceccc.html,1
