f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
2,0,8,0,14,0,0,3,1,0,3,20,0,0,1,0,0,0,0,3,3,0,0,2,0,1,0,0,0,0,1,1,20,479,0.208768267223382,1,38,45,0,0,6,2,0.25,1
21,0,7,6,4,4,0,0,0,0,45,19,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,11,0,58,0,24,793,0.3581336696090794,0,109,5,0,0,50,21,0.2957746478873239,0
0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,1
2,0,3,0,5,11,0,0,0,0,2,120,0,0,1,10,0,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,15,456,0.2017543859649122,3,2,4,0,0,38,2,0.05,0
2,0,2,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,38,0.7631578947368421,1,0,0,0,0,11,2,0.1538461538461538,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0
29,0,14,1,9,5,0,0,0,0,12,31,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15,237,0.2278481012658227,4,4,0,3,0,1,29,0.9666666666666668,0
9,0,22,0,10,5,1,4,1,0,3,65,0,0,0,1,0,0,0,8,8,3,0,1,0,1,0,7,3,0,5,3,17,236,0.1313559322033898,1,0,1,6,0,1,9,0.9,1
1,0,3,1,5,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,77,0.3766233766233766,1,1,1,6,0,8,1,0.1111111111111111,1
15,0,4,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,17,462,0.1645021645021645,0,16,1,0,0,3,15,0.8333333333333334,0
