f1_url_length,f2_hostname_length,f3_has_ip,f4_dot,f5_hyphen,f6_at,f7_question,f8_ampersand,f9_pipe,f10_equal,f11_underscore,f12_tilde,f13_percent,f14_slash,f15_asterisk,f16_colon,f17_comma,f18_semicolon,f19_dollar,f20_space_or_%20,f21_www,f22_.com,f23_http,f24_//,f25_https,f26_ratio_digits_url,f27_ratio_digits_hostname,f28_punycode,f29_port,f30_tld_in_path,f31_tld_in_subdomain,f32_abnormal_subdomain,f33_num_subdomains,f34_prefix_suffix,f35_random_domain,f36_shortening_service,f37_path_extension,f38_num_redirections,f39_num_external_redirections,f40_num_words_url,f41_max_char_repeat_url,f42_shortest_word_url,f45_longest_word_url,f48_avg_word_length_url,f43_shortest_word_hostname,f46_longest_word_hostname,f49_avg_word_length_hostname,f44_shortest_word_path,f47_longest_word_path,f50_avg_word_length_path,f51_phish_hints,f52_brand_in_domain,f53_brand_in_subdomain,f54_brand_in_path,f55_suspicious_tld,f56_https_resources,f57_http_resources,f58_external_domains_count,f59_relative_urls,f60_inline_scripts,f61_external_scripts,f62_password_inputs,f63_hidden_inputs,f64_forms_count,f65_iframe_count,f66_images_count,f67_links_count,f68_redirect_meta,f69_language_mismatch,f70_h1_count,f71_h2_count,f72_js_cookies_set,f73_js_cookies_read,f74_total_cookies,f75_input_fields_total,f76_input_fields_without_labels,f77_input_fields_suspicious_names,f78_favicon_mismatch,f79_logo_count,f80_has_ssl_seal,f81_has_copyright,f82_data_uri_count,f83_javascript_uri_count,f84_urgent_words_count,f85_form_action_external,f86_password_related_words,f87_security_related_words,f88_dom_depth,f89_dom_nodes,f90_dom_leaf_ratio,f91_external_css,f92_inline_styles,f93_style_tags,f94_inline_events,f95_obfuscated_events,f96_internal_resources,f97_external_resources,f98_external_resource_ratio,is_phishing
37,23,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,3,19,7.75,3,19,11.0,4,4,4.0,0,0,0,0,0,25,0,13,0,19,32,0,16,7,0,1,29,0,1,1,1,0,0,0,23,22,2,0,1,0,1,0,0,0,1,4,1,23,535,0.308411214953271,0,33,2,0,0,19,25,0.5681818181818182,1
16,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,6,4.0,2,6,4.0,0,0,0,0,0,0,0,0,2,0,8,0,14,0,0,3,1,0,3,21,0,0,1,0,0,0,0,3,3,0,0,2,0,1,0,0,0,0,1,1,20,491,0.219959266802444,1,38,45,0,0,6,2,0.25,0
19,10,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.3157894736842105,0.6,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,7,4.666666666666667,2,7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0.6333333333333333,1,2,0,2,0,4,0,0.0,1
35,19,0,2,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,1,1,1,0.11428571428571428,0.0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,1,11,4.5,3,11,5.666666666666667,0,0,0,0,1,0,0,0,16,0,17,14,6,2,0,0,1,1,109,364,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,21,1719,0.14077952297847585,0,1,1,1,0,121,16,0.11678832116788321,0
22,13,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,8,5.666666666666667,4,8,6.0,0,0,0,0,0,0,0,0,2,0,2,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,38,0.7631578947368421,1,0,0,0,0,11,2,0.15384615384615385,1
79,11,0,6,1,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0,1,0,1,1,1,0.620253164556962,0.0,0,0,0,0,0,1,0,0,0,0,0,0,11,3,1,10,6.0,3,3,3.0,0,0,0,0,0,0,0,0,23,0,26,0,4,6,0,2,1,1,24,64,0,0,10,8,0,0,0,9,8,0,0,1,0,1,0,0,0,0,0,0,22,516,0.16279069767441862,2,5,2,1,0,13,23,0.6388888888888888,0
45,15,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,1,0.06666666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,11,6.333333333333333,3,11,7.0,3,10,6.333333333333333,0,0,0,0,0,5,0,3,0,3,3,0,0,2,0,20,74,0,0,1,21,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,11,275,0.22181818181818183,1,20,0,0,0,5,5,0.5,0
209,17,0,3,3,1,1,0,0,1,0,0,10,5,0,1,0,0,0,0,0,2,1,1,1,0.3349282296650718,0.0,0,0,0,0,0,0,1,0,0,0,1,0,28,4,2,29,6.392857142857143,2,10,5.0,0,0,0,0,0,0,0,0,4,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0.3684210526315789,1,0,1,0,0,0,4,1.0,1
32,24,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,16,6.5,3,16,7.333333333333333,0,0,0,0,0,0,0,0,2,0,18,0,3,15,1,5,9,1,18,179,0,0,1,2,0,0,0,22,16,6,0,4,0,1,0,0,0,1,18,7,15,618,0.1407766990291262,3,17,1,11,0,37,2,0.05128205128205128,1
23,14,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,11,6.0,2,11,6.5,0,0,0,0,0,0,0,0,4,0,3,0,3,3,0,22,12,0,5,56,0,0,1,1,0,0,0,23,23,0,0,1,0,1,0,0,0,0,0,1,16,349,0.28653295128939826,2,4,1,0,0,26,4,0.13333333333333333,0
