f1_url_length,f2_hostname_length,f3_has_ip,f4_dot,f5_hyphen,f6_at,f7_question,f8_ampersand,f9_pipe,f10_equal,f11_underscore,f12_tilde,f13_percent,f14_slash,f15_asterisk,f16_colon,f17_comma,f18_semicolon,f19_dollar,f20_space_or_%20,f21_www,f22_.com,f23_http,f24_//,f25_https,f26_ratio_digits_url,f27_ratio_digits_hostname,f28_punycode,f29_port,f30_tld_in_path,f31_tld_in_subdomain,f32_abnormal_subdomain,f33_num_subdomains,f34_prefix_suffix,f35_random_domain,f36_shortening_service,f37_path_extension,f38_num_redirections,f39_num_external_redirections,f40_num_words_url,f41_max_char_repeat_url,f42_shortest_word_url,f45_longest_word_url,f48_avg_word_length_url,f43_shortest_word_hostname,f46_longest_word_hostname,f49_avg_word_length_hostname,f44_shortest_word_path,f47_longest_word_path,f50_avg_word_length_path,f51_phish_hints,f52_brand_in_domain,f53_brand_in_subdomain,f54_brand_in_path,f55_suspicious_tld,is_phishing
37,23,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,3,19,7.75,3,19,11.0,4,4,4.0,0,0,0,0,0,1
16,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,6,4.0,2,6,4.0,0,0,0.0,0,0,0,0,0,0
19,10,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.3157894736842105,0.6,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,7,4.666666666666667,2,7,4.5,0,0,0.0,0,0,0,0,0,1
35,19,0,2,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,1,1,1,0.11428571428571428,0.0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,1,11,4.5,3,11,5.666666666666667,0,0,0.0,0,1,0,0,0,0
22,13,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,8,5.666666666666667,4,8,6.0,0,0,0.0,0,0,0,0,0,1
79,11,0,6,1,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0,1,0,1,1,1,0.620253164556962,0.0,0,0,0,0,0,1,0,0,0,0,0,0,11,3,1,10,6.0,3,3,3.0,0,0,0.0,0,0,0,0,0,0
45,15,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,1,0.06666666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,11,6.333333333333333,3,11,7.0,3,10,6.333333333333333,0,0,0,0,0,0
209,17,0,3,3,1,1,0,0,1,0,0,10,5,0,1,0,0,0,0,0,2,1,1,1,0.3349282296650718,0.0,0,0,0,0,0,0,1,0,0,0,1,0,28,4,2,29,6.392857142857143,2,10,5.0,0,0,0.0,0,0,0,0,0,1
32,24,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,16,6.5,3,16,7.333333333333333,0,0,0.0,0,0,0,0,0,1
23,14,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,11,6.0,2,11,6.5,0,0,0.0,0,0,0,0,0,0
